pais,product_id,total_vendido
United States,b'\x00\x03\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x07\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x00\t\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x0c\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x00\r\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x0e\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x0f\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x11\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x14\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x16\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x1c\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x1e\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00\x1e\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00 \x02\x00\x00\x00\x00\x00',0.0
United States,b'\x00!\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00!\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x00#\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00(\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00(\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00)\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00)\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00+\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00+\x01\x00\x00\x00\x00\x00',0.0
United States,"b'\x00,\x00\x00\x00\x00\x00\x00'",0.0
United States,b'\x002\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x008\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00?\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00@\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00A\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00E\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00J\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00O\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00O\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00P\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00Q\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00R\x01\x00\x00\x00\x00\x00',0.0
